160516_NS500577_0186_AH72THBGXY,TANGO-365,2016-05-16,Shilatifard,0,0
160517_NB501015_0105_AH3KT3BGXY,TANGO-351,2016-05-17,Shilatifard,0,0
160517_NS500577_0187_AH72KKBGXY,TANGO-360,2016-05-17,Shilatifard,0,0
160518_NB501015_0106_AH3H2JBGXY,TANGO-352,2016-05-18,Shilatifard,0,0
160518_NS500577_0188_AH3L37BGXY,TANGO-363,2016-05-18,Shilatifard,0,0
160519_NB501015_0107_AH3JYKBGXY,TANGO-382,2016-05-19,Shilatifard,0,1
160519_NS500577_0189_AH3KGWBGXY,TANGO-353,2016-05-19,Shilatifard,0,0
160520_NB501015_0108_AH3HFYBGXY,TANGO-369,2016-05-20,Shilatifard,1,0
160520_NB501015_0108_AH3HFYBGXY,TANGO-382,2016-05-20,Shilatifard,1,1
160520_NS500577_0190_AH3JT3BGXY,TANGO-355,2016-05-20,Shilatifard,1,0
160520_NS500577_0190_AH3JT3BGXY,TANGO-385,2016-05-20,Shilatifard,1,0
160523_NB501015_0109_AH3L7WBGXY,TANGO-373,2016-05-23,Shilatifard,1,0
160523_NB501015_0109_AH3L7WBGXY,TANGO-374,2016-05-23,Shilatifard,1,0
160523_NS500577_0191_AH3JFHBGXY,TANGO-379,2016-05-23,Shilatifard,0,0
160524_NB501015_0110_AH3GWNBGXY,TANGO-380,2016-05-24,Shilatifard,0,0
160524_NS500577_0192_AH3JLTBGXY,TANGO-381,2016-05-24,Shilatifard,0,0
160525_NB501015_0111_AH3KWKBGXY,TANGO-375,2016-05-25,Shilatifard,1,0
160525_NB501015_0111_AH3KWKBGXY,TANGO-389,2016-05-25,Shilatifard,1,0
160526_NB501015_0112_AH3HG7BGXY,TANGO-325,2016-05-26,Shilatifard,0,0
160527_NB501015_0113_AH72TJBGXY,TANGO-395,2016-05-27,Shilatifard,0,0
160527_NS500577_0193_AH3GJGBGXY,TANGO-396,2016-05-27,Shilatifard,0,0
160531_NB501015_0114_AH3KH3BGXY,TANGO-370,2016-05-31,Shilatifard,0,0
160531_NS500577_0194_AH3JT2BGXY,TANGO-372,2016-05-31,Shilatifard,1,0
160531_NS500577_0194_AH3JT2BGXY,TANGO-394,2016-05-31,Shilatifard,1,0
160606_NB501015_0115_AH3GV5BGXY,TANGO-391,2016-06-06,Shilatifard,1,0
160606_NB501015_0115_AH3GV5BGXY,TANGO-397,2016-06-06,Shilatifard,1,0
160609_NS500577_0195_AH3LCNBGXY,TANGO-383,2016-06-09,Shilatifard,1,0
160609_NS500577_0195_AH3LCNBGXY,TANGO-387,2016-06-09,Shilatifard,1,0
160614_NB501015_0116_AH3JNFBGXY,TANGO-400,2016-06-14,Shilatifard,0,0
160614_NS500577_0196_AH3JYWBGXY,TANGO-401,2016-06-14,Shilatifard,0,0
160615_NB501015_0117_AH3L7MBGXY,TANGO-398,2016-06-15,Shilatifard,0,0
160615_NS500577_0197_AH3HFFBGXY,TANGO-404,2016-06-15,Shilatifard,0,0
160618_NB501015_0118_AH3L5KBGXY,TANGO-409,2016-06-18,Shilatifard,0,0
160618_NS500577_0198_AH3GJFBGXY,TANGO-413,2016-06-18,Shilatifard,0,0
160619_NB501015_0119_AH3JVWBGXY,TANGO-406,2016-06-19,Shilatifard,1,0
160619_NB501015_0119_AH3JVWBGXY,TANGO-410,2016-06-19,Shilatifard,1,0
160619_NS500577_0199_AH3L7YBGXY,TANGO-411,2016-06-19,Shilatifard,0,0
160620_NB501015_0120_AH3L5HBGXY,TANGO-408,2016-06-20,Shilatifard,0,0
160620_NS500577_0200_AH3GJ7BGXY,TANGO-412,2016-06-20,Shilatifard,0,0
160624_NB501015_0121_AH3L3HBGXY,TANGO-405,2016-06-24,Shilatifard,0,0
160624_NS500577_0201_AH3L2YBGXY,TANGO-418,2016-06-24,Shilatifard,1,0
160624_NS500577_0201_AH3L2YBGXY,TANGO-420,2016-06-24,Shilatifard,1,0
160628_NB501015_0122_AH72HCBGXY,TANGO-386,2016-06-28,Shilatifard,0,0
160628_NS500577_0202_AH3JT5BGXY,TANGO-399,2016-06-28,Shilatifard,0,0
160629_NB501015_0123_AH3L2VBGXY,TANGO-422,2016-06-29,Shilatifard,0,0
160629_NS500577_0203_AH3L32BGXY,TANGO-427,2016-06-29,Shilatifard,0,1
160630_NB501015_0124_AH72HFBGXY,TANGO-403,2016-06-30,Shilatifard,1,0
160630_NB501015_0124_AH72HFBGXY,TANGO-421,2016-06-30,Shilatifard,1,0
160630_NS500577_0204_AH3HGVBGXY,TANGO-423,2016-06-30,Shilatifard,0,0
160701_NB501015_0125_AHFN5TBGXY,TANGO-384,2016-07-01,Shilatifard,0,0
160701_NS500577_0205_AHFH7NBGXY,TANGO-429,2016-07-01,Shilatifard,0,0
160705_NB501015_0126_AHFNWNBGXY,TANGO-392,2016-07-05,Shilatifard,0,0
160705_NS500577_0206_AHGVKLBGXY,TANGO-428,2016-07-05,Shilatifard,0,0
160706_NB501015_0127_AHFNV2BGXY,TANGO-402,2016-07-06,Shilatifard,0,0
160706_NS500577_0207_AHGVLGBGXY,TANGO-407,2016-07-06,Shilatifard,1,0
160706_NS500577_0207_AHGVLGBGXY,TANGO-417,2016-07-06,Shilatifard,1,0
160707_NB501015_0128_AHGVKTBGXY,TANGO-416,2016-07-07,Shilatifard,0,0
160707_NS500577_0208_AHFNWJBGXY,TANGO-426,2016-07-07,Shilatifard,0,0
160708_NB501015_0129_AHFTKTBGXY,TANGO-414,2016-07-08,Shilatifard,0,0
160711_NB501015_0130_AHF7GJBGXY,TANGO-430,2016-07-11,Shilatifard,0,0
160711_NS500577_0209_AHV2LMBGXX,PLDI-009,2016-07-11,Panos,0,0
160712_NB501015_0131_AHGVHTBGXY,TANGO-424,2016-07-12,Shilatifard,0,0
160712_NS500577_0210_AHFCFNBGXY,TANGO-433,2016-07-12,Shilatifard,0,0
160714_NB501015_0132_AHFNGFBGXY,TANGO-415,2016-07-14,Shilatifard,0,0
160714_NS500577_0211_AHFNTNBGXY,TANGO-419,2016-07-14,Shilatifard,1,0
160714_NS500577_0211_AHFNTNBGXY,TANGO-427,2016-07-14,Shilatifard,1,1
160715_NB501015_0133_AHGV22BGXY,TANGO-425,2016-07-15,Shilatifard,0,0
160715_NS500577_0212_AHFNTLBGXY,TANGO-432,2016-07-15,Shilatifard,0,0
160718_NB501015_0134_AHGVFNBGXY,TANGO-431,2016-07-18,Shilatifard,0,0
160718_NS500577_0213_AHGVC5BGXY,TANGO-435,2016-07-18,Shilatifard,0,0
160719_NB501015_0135_AHV35HBGXX,PLDI-010,2016-07-19,Panos,0,0
160719_NS500577_0214_AHV3CVBGXX,PLDI-011,2016-07-19,Panos,0,0
160720_NB501015_0136_AHTVC7BGXX,PLDI-012,2016-07-20,Panos,0,0
160720_NS500577_0215_AHCGTHBGXY,PLDI-013,2016-07-20,Panos,0,0
160721_NB501015_0137_AHGWFYBGXY,TANGO-442,2016-07-21,Shilatifard,0,0
160721_NS500577_0216_AH7YCWBGXY,TANGO-443,2016-07-21,Shilatifard,0,0
160725_NB501015_0138_AHFNJVBGXY,TANGO-439,2016-07-26,Shilatifard,1,0
160725_NB501015_0138_AHFNJVBGXY,TANGO-448,2016-07-26,Shilatifard,1,0
160725_NS500577_0217_AHFN7GBGXY,TANGO-447,2016-07-25,Shilatifard,0,0
160726_NB501015_0139_AHGVMNBGXY,TANGO-445,2016-07-26,Shilatifard,0,0
160726_NS500577_0218_AHFNW2BGXY,TANGO-446,2016-07-25,Shilatifard,0,0
160727_NB501015_0140_AH7WGGBGXY,TANGO-438,2016-07-27,Shilatifard,0,0
160727_NS500577_0219_AHF5VKBGXY,TANGO-458,2016-07-28,Shilatifard,0,0
160728_NB501015_0141_AHFC5LBGXY,TANGO-460,2016-07-28,Shilatifard,0,0
160729_NB501015_0142_AHC7HFBGXY,TANGO-440,2016-07-29,Shilatifard,0,0
160729_NS500577_0220_AHC75HBGXY,TANGO-441,2016-07-29,Shilatifard,0,0
